[ AI-Rank-Log  4/ 7  9:30:44.809 ]sampleid: 000000013546.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:44.879 ]sampleid: 000000013597.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:44.957 ]sampleid: 000000013659.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:45. 34 ]sampleid: 000000013729.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:45.114 ]sampleid: 000000013774.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:45.193 ]sampleid: 000000013923.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:45.270 ]sampleid: 000000014007.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:45.350 ]sampleid: 000000014038.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:45.430 ]sampleid: 000000014226.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:45.520 ]sampleid: 000000014380.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:45.603 ]sampleid: 000000014439.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:45.689 ]sampleid: 000000014473.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:45.774 ]sampleid: 000000014831.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:45.855 ]sampleid: 000000014888.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:45.933 ]sampleid: 000000015079.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:46. 12 ]sampleid: 000000015254.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:46. 98 ]sampleid: 000000015272.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:46.178 ]sampleid: 000000015278.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:46.261 ]sampleid: 000000015335.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:46.350 ]sampleid: 000000015338.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:46.432 ]sampleid: 000000015440.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:46.512 ]sampleid: 000000015497.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:46.598 ]sampleid: 000000015517.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:46.682 ]sampleid: 000000015597.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:46.768 ]sampleid: 000000015660.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:46.859 ]sampleid: 000000015746.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:46.935 ]sampleid: 000000015751.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:47. 21 ]sampleid: 000000015956.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:47.114 ]sampleid: 000000016010.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:47.198 ]sampleid: 000000016228.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:47.275 ]sampleid: 000000016249.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:47.358 ]sampleid: 000000016439.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:47.441 ]sampleid: 000000016451.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:47.523 ]sampleid: 000000016502.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:47.614 ]sampleid: 000000016598.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:47.696 ]sampleid: 000000016958.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:47.772 ]sampleid: 000000017029.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:47.844 ]sampleid: 000000017031.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:47.935 ]sampleid: 000000017115.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:48. 21 ]sampleid: 000000017178.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:48.111 ]sampleid: 000000017182.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:48.198 ]sampleid: 000000017207.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:48.281 ]sampleid: 000000017379.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:48.371 ]sampleid: 000000017436.jpg, result=true
