[ AI-Rank-Log  4/ 8 12:54: 7.334 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 12:54:11.721 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  4/ 8 12:54:21.220 ]sampleid: 000000008899.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:21.302 ]sampleid: 000000009378.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:21.381 ]sampleid: 000000009400.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:21.466 ]sampleid: 000000009448.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:21.548 ]sampleid: 000000009483.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:21.629 ]sampleid: 000000009590.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:21.720 ]sampleid: 000000009769.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:21.800 ]sampleid: 000000009772.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:21.881 ]sampleid: 000000009891.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:21.960 ]sampleid: 000000009914.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:22. 40 ]sampleid: 000000010092.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:22.120 ]sampleid: 000000010363.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:22.204 ]sampleid: 000000010583.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:22.284 ]sampleid: 000000010707.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:22.369 ]sampleid: 000000010764.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:22.446 ]sampleid: 000000010977.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:22.528 ]sampleid: 000000010995.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:22.613 ]sampleid: 000000011051.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:22.699 ]sampleid: 000000011122.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:22.780 ]sampleid: 000000011149.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:22.862 ]sampleid: 000000011197.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:22.944 ]sampleid: 000000011511.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:23. 30 ]sampleid: 000000011615.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:23.121 ]sampleid: 000000011699.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:23.211 ]sampleid: 000000011760.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:23.292 ]sampleid: 000000011813.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:23.379 ]sampleid: 000000012062.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:23.464 ]sampleid: 000000012120.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:23.556 ]sampleid: 000000012280.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:23.665 ]sampleid: 000000012576.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:23.766 ]sampleid: 000000012639.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:23.841 ]sampleid: 000000012667.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:23.924 ]sampleid: 000000012670.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:24. 19 ]sampleid: 000000012748.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:24. 99 ]sampleid: 000000013004.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:24.183 ]sampleid: 000000013177.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:24.275 ]sampleid: 000000013201.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:24.364 ]sampleid: 000000013291.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:24.467 ]sampleid: 000000013348.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:24.544 ]sampleid: 000000013546.jpg, result=true
