[ AI-Rank-Log  4/ 7 16: 4:10.764 ]sampleid: 000000010707.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.823 ]sampleid: 000000010764.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.878 ]sampleid: 000000010977.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.935 ]sampleid: 000000010995.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.997 ]sampleid: 000000011051.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11. 57 ]sampleid: 000000011122.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11.114 ]sampleid: 000000011149.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11.173 ]sampleid: 000000011197.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11.236 ]sampleid: 000000011511.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11.294 ]sampleid: 000000011615.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11.354 ]sampleid: 000000011699.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11.414 ]sampleid: 000000011760.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11.474 ]sampleid: 000000011813.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11.534 ]sampleid: 000000012062.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11.592 ]sampleid: 000000012120.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11.652 ]sampleid: 000000012280.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11.713 ]sampleid: 000000012576.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11.774 ]sampleid: 000000012639.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11.834 ]sampleid: 000000012667.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11.897 ]sampleid: 000000012670.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:11.958 ]sampleid: 000000012748.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12. 16 ]sampleid: 000000013004.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12. 77 ]sampleid: 000000013177.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12.136 ]sampleid: 000000013201.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12.194 ]sampleid: 000000013291.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12.254 ]sampleid: 000000013348.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12.314 ]sampleid: 000000013546.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12.374 ]sampleid: 000000013597.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12.437 ]sampleid: 000000013659.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12.498 ]sampleid: 000000013729.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12.560 ]sampleid: 000000013774.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12.621 ]sampleid: 000000013923.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12.681 ]sampleid: 000000014007.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12.742 ]sampleid: 000000014038.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12.803 ]sampleid: 000000014226.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12.865 ]sampleid: 000000014380.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12.928 ]sampleid: 000000014439.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:12.990 ]sampleid: 000000014473.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13. 53 ]sampleid: 000000014831.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13.115 ]sampleid: 000000014888.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13.180 ]sampleid: 000000015079.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13.241 ]sampleid: 000000015254.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13.306 ]sampleid: 000000015272.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13.369 ]sampleid: 000000015278.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13.434 ]sampleid: 000000015335.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13.496 ]sampleid: 000000015338.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13.558 ]sampleid: 000000015440.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13.620 ]sampleid: 000000015497.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13.683 ]sampleid: 000000015517.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13.746 ]sampleid: 000000015597.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13.808 ]sampleid: 000000015660.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13.872 ]sampleid: 000000015746.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13.934 ]sampleid: 000000015751.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:13.999 ]sampleid: 000000015956.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:14. 62 ]sampleid: 000000016010.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:14.126 ]sampleid: 000000016228.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:14.189 ]sampleid: 000000016249.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:14.253 ]sampleid: 000000016439.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:14.319 ]sampleid: 000000016451.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:14.382 ]sampleid: 000000016502.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:14.449 ]sampleid: 000000016598.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:14.512 ]sampleid: 000000016958.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:14.585 ]sampleid: 000000017029.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:14.646 ]sampleid: 000000017031.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:14.713 ]sampleid: 000000017115.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:14.778 ]sampleid: 000000017178.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:14.842 ]sampleid: 000000017182.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:14.906 ]sampleid: 000000017207.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:14.976 ]sampleid: 000000017379.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:15. 41 ]sampleid: 000000017436.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:15.110 ]sampleid: 000000017627.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:15.179 ]sampleid: 000000017714.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:15.247 ]sampleid: 000000017899.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:15.313 ]sampleid: 000000017905.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:15.377 ]sampleid: 000000017959.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:15.449 ]sampleid: 000000018150.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:15.515 ]sampleid: 000000018193.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:15.582 ]sampleid: 000000018380.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:15.647 ]sampleid: 000000018491.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:15.715 ]sampleid: 000000018519.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:15.781 ]sampleid: 000000018575.jpg, result=true
