Namespace(amp=False, batch_size=8, data_shape=416, dataset='coco', epochs=1, gpus='0', horovod=False, label_smooth=True, log_interval=10, lr=0.001, lr_decay=0.1, lr_decay_epoch='220,250', lr_decay_period=0, lr_mode='step', mixup=True, momentum=0.9, network='darknet53', no_mixup_epochs=20, no_random_shape=False, no_wd=True, num_samples=117266, num_workers=8, resume='', save_interval=10, save_prefix='log/yolo3_darknet53_coco', seed=233, start_epoch=0, syncbn=False, val_interval=1, warmup_epochs=2, warmup_lr=0.0, wd=0.0005)
Start training from [Epoch 0]
AI-Rank-log [Epoch 0][Batch 469], LR: 1.60E-05, Speed: 38.400 samples/sec, ObjLoss=447.259, BoxCenterLoss=17.375, BoxScaleLoss=14.278, ClassLoss=261.030
AI-Rank-log [Epoch 0][Batch 479], LR: 1.64E-05, Speed: 35.180 samples/sec, ObjLoss=438.750, BoxCenterLoss=17.300, BoxScaleLoss=14.178, ClassLoss=257.154
AI-Rank-log [Epoch 0][Batch 489], LR: 1.67E-05, Speed: 36.390 samples/sec, ObjLoss=430.685, BoxCenterLoss=17.279, BoxScaleLoss=14.105, ClassLoss=254.217
AI-Rank-log [Epoch 0][Batch 499], LR: 1.71E-05, Speed: 51.846 samples/sec, ObjLoss=422.821, BoxCenterLoss=17.250, BoxScaleLoss=14.027, ClassLoss=250.980
AI-Rank-log [Epoch 0][Batch 509], LR: 1.74E-05, Speed: 60.582 samples/sec, ObjLoss=415.194, BoxCenterLoss=17.205, BoxScaleLoss=13.941, ClassLoss=247.768
AI-Rank-log [Epoch 0][Batch 519], LR: 1.77E-05, Speed: 60.933 samples/sec, ObjLoss=407.910, BoxCenterLoss=17.197, BoxScaleLoss=13.906, ClassLoss=244.802
AI-Rank-log [Epoch 0][Batch 529], LR: 1.81E-05, Speed: 38.329 samples/sec, ObjLoss=400.873, BoxCenterLoss=17.134, BoxScaleLoss=13.806, ClassLoss=241.525
AI-Rank-log [Epoch 0][Batch 539], LR: 1.84E-05, Speed: 38.522 samples/sec, ObjLoss=394.224, BoxCenterLoss=17.137, BoxScaleLoss=13.773, ClassLoss=238.600
AI-Rank-log [Epoch 0][Batch 549], LR: 1.88E-05, Speed: 32.789 samples/sec, ObjLoss=387.803, BoxCenterLoss=17.108, BoxScaleLoss=13.689, ClassLoss=235.601
AI-Rank-log [Epoch 0][Batch 559], LR: 1.91E-05, Speed: 23.396 samples/sec, ObjLoss=381.721, BoxCenterLoss=17.119, BoxScaleLoss=13.625, ClassLoss=232.979
AI-Rank-log [Epoch 0][Batch 569], LR: 1.94E-05, Speed: 35.298 samples/sec, ObjLoss=375.834, BoxCenterLoss=17.147, BoxScaleLoss=13.613, ClassLoss=230.418
AI-Rank-log [Epoch 0][Batch 579], LR: 1.98E-05, Speed: 23.494 samples/sec, ObjLoss=370.290, BoxCenterLoss=17.228, BoxScaleLoss=13.616, ClassLoss=228.141
AI-Rank-log [Epoch 0][Batch 589], LR: 2.01E-05, Speed: 23.049 samples/sec, ObjLoss=364.731, BoxCenterLoss=17.206, BoxScaleLoss=13.549, ClassLoss=225.457
AI-Rank-log [Epoch 0][Batch 599], LR: 2.05E-05, Speed: 26.641 samples/sec, ObjLoss=359.312, BoxCenterLoss=17.176, BoxScaleLoss=13.478, ClassLoss=222.828
AI-Rank-log [Epoch 0][Batch 609], LR: 2.08E-05, Speed: 26.438 samples/sec, ObjLoss=354.117, BoxCenterLoss=17.174, BoxScaleLoss=13.442, ClassLoss=220.413
AI-Rank-log [Epoch 0][Batch 619], LR: 2.11E-05, Speed: 53.647 samples/sec, ObjLoss=348.937, BoxCenterLoss=17.138, BoxScaleLoss=13.408, ClassLoss=217.932
AI-Rank-log [Epoch 0][Batch 629], LR: 2.15E-05, Speed: 26.280 samples/sec, ObjLoss=344.158, BoxCenterLoss=17.172, BoxScaleLoss=13.373, ClassLoss=215.786
AI-Rank-log [Epoch 0][Batch 639], LR: 2.18E-05, Speed: 32.831 samples/sec, ObjLoss=339.369, BoxCenterLoss=17.167, BoxScaleLoss=13.311, ClassLoss=213.428
AI-Rank-log [Epoch 0][Batch 649], LR: 2.22E-05, Speed: 42.675 samples/sec, ObjLoss=334.719, BoxCenterLoss=17.166, BoxScaleLoss=13.272, ClassLoss=211.154
AI-Rank-log [Epoch 0][Batch 659], LR: 2.25E-05, Speed: 57.959 samples/sec, ObjLoss=330.132, BoxCenterLoss=17.132, BoxScaleLoss=13.217, ClassLoss=208.915
AI-Rank-log [Epoch 0][Batch 669], LR: 2.29E-05, Speed: 34.424 samples/sec, ObjLoss=325.784, BoxCenterLoss=17.126, BoxScaleLoss=13.170, ClassLoss=206.818
AI-Rank-log [Epoch 0][Batch 679], LR: 2.32E-05, Speed: 38.141 samples/sec, ObjLoss=321.466, BoxCenterLoss=17.085, BoxScaleLoss=13.102, ClassLoss=204.623
AI-Rank-log [Epoch 0][Batch 689], LR: 2.35E-05, Speed: 54.862 samples/sec, ObjLoss=317.301, BoxCenterLoss=17.083, BoxScaleLoss=13.067, ClassLoss=202.563
AI-Rank-log [Epoch 0][Batch 699], LR: 2.39E-05, Speed: 37.258 samples/sec, ObjLoss=313.221, BoxCenterLoss=17.030, BoxScaleLoss=13.008, ClassLoss=200.486
AI-Rank-log [Epoch 0][Batch 709], LR: 2.42E-05, Speed: 61.027 samples/sec, ObjLoss=309.321, BoxCenterLoss=17.018, BoxScaleLoss=12.976, ClassLoss=198.618
AI-Rank-log [Epoch 0][Batch 719], LR: 2.46E-05, Speed: 49.488 samples/sec, ObjLoss=305.520, BoxCenterLoss=17.011, BoxScaleLoss=12.931, ClassLoss=196.829
AI-Rank-log [Epoch 0][Batch 729], LR: 2.49E-05, Speed: 23.238 samples/sec, ObjLoss=301.930, BoxCenterLoss=17.014, BoxScaleLoss=12.884, ClassLoss=195.165
AI-Rank-log [Epoch 0][Batch 739], LR: 2.52E-05, Speed: 41.839 samples/sec, ObjLoss=298.349, BoxCenterLoss=17.001, BoxScaleLoss=12.829, ClassLoss=193.383
AI-Rank-log [Epoch 0][Batch 749], LR: 2.56E-05, Speed: 50.291 samples/sec, ObjLoss=294.841, BoxCenterLoss=17.000, BoxScaleLoss=12.800, ClassLoss=191.665
AI-Rank-log [Epoch 0][Batch 759], LR: 2.59E-05, Speed: 25.708 samples/sec, ObjLoss=291.478, BoxCenterLoss=16.987, BoxScaleLoss=12.759, ClassLoss=189.925
AI-Rank-log [Epoch 0][Batch 769], LR: 2.63E-05, Speed: 61.459 samples/sec, ObjLoss=288.139, BoxCenterLoss=16.963, BoxScaleLoss=12.707, ClassLoss=188.239
AI-Rank-log [Epoch 0][Batch 779], LR: 2.66E-05, Speed: 34.721 samples/sec, ObjLoss=284.906, BoxCenterLoss=16.942, BoxScaleLoss=12.660, ClassLoss=186.608
AI-Rank-log [Epoch 0][Batch 789], LR: 2.69E-05, Speed: 37.504 samples/sec, ObjLoss=281.706, BoxCenterLoss=16.910, BoxScaleLoss=12.605, ClassLoss=184.934
AI-Rank-log [Epoch 0][Batch 799], LR: 2.73E-05, Speed: 32.581 samples/sec, ObjLoss=278.700, BoxCenterLoss=16.930, BoxScaleLoss=12.582, ClassLoss=183.508
AI-Rank-log [Epoch 0][Batch 809], LR: 2.76E-05, Speed: 53.108 samples/sec, ObjLoss=275.665, BoxCenterLoss=16.903, BoxScaleLoss=12.529, ClassLoss=182.012
AI-Rank-log [Epoch 0][Batch 819], LR: 2.80E-05, Speed: 22.585 samples/sec, ObjLoss=272.852, BoxCenterLoss=16.935, BoxScaleLoss=12.509, ClassLoss=180.652
AI-Rank-log [Epoch 0][Batch 829], LR: 2.83E-05, Speed: 38.316 samples/sec, ObjLoss=269.920, BoxCenterLoss=16.884, BoxScaleLoss=12.445, ClassLoss=179.094
