AI-Rank-log 1617949766.1642342 sampleid:56be5438acb8001400a5031a, same num=2
AI-Rank-log 1617949766.1643212 sampleid:56be5438acb8001400a5031b, same num=3
AI-Rank-log 1617949766.1644123 sampleid:56be5438acb8001400a5031c, same num=1
AI-Rank-log 1617949766.1644957 sampleid:56beb03c3aeaaa14008c920b, same num=3
AI-Rank-log 1617949766.1645765 sampleid:56beb03c3aeaaa14008c920d, same num=2
AI-Rank-log 1617949766.1646562 sampleid:56bf3c633aeaaa14008c9580, same num=2
AI-Rank-log 1617949766.1647425 sampleid:56bf3c633aeaaa14008c9581, same num=2
AI-Rank-log 1617949766.164839 sampleid:56bf3c633aeaaa14008c9582, same num=3
AI-Rank-log 1617949766.1650167 sampleid:56d20564e7d4791d00902612, same num=15
AI-Rank-log 1617949766.1650975 sampleid:56d6ee6e0d65d21400198254, same num=1
AI-Rank-log 1617949766.1651793 sampleid:56d6ee6e0d65d21400198255, same num=2
AI-Rank-log 1617949766.1652648 sampleid:56d6ee6e0d65d21400198256, same num=3
AI-Rank-log 1617949766.1653466 sampleid:56d6ee6e0d65d21400198257, same num=0
AI-Rank-log 1617949766.1654289 sampleid:56d6ee6e0d65d21400198258, same num=2
AI-Rank-log 1617949766.16553 sampleid:56d98db6dc89441400fdb552, same num=3
AI-Rank-log 1617949766.1656184 sampleid:56d98db6dc89441400fdb553, same num=2
AI-Rank-log 1617949766.1657028 sampleid:56d98db6dc89441400fdb554, same num=1
AI-Rank-log 1617949766.165799 sampleid:56be54bdacb8001400a50322, same num=3
AI-Rank-log 1617949766.1658745 sampleid:56be54bdacb8001400a50323, same num=1
AI-Rank-log 1617949766.1659577 sampleid:56be54bdacb8001400a50324, same num=3
AI-Rank-log 1617949766.1660314 sampleid:56be54bdacb8001400a50325, same num=1
AI-Rank-log 1617949766.1661084 sampleid:56be54bdacb8001400a50326, same num=1
AI-Rank-log 1617949766.1661935 sampleid:56beb0f43aeaaa14008c921b, same num=3
AI-Rank-log 1617949766.1662784 sampleid:56beb0f43aeaaa14008c921c, same num=3
