Epoch: [0][820/1832], lr: 0.02000	Time 0.326 (0.335)	Data 0.000 (0.001)	Loss 1.8791 (3.6863)	Prec@1 35.938 (23.794)	Prec@5 62.500 (47.322)	2021-05-15 21:21:18.079795
Epoch: [0][840/1832], lr: 0.02000	Time 0.329 (0.335)	Data 0.000 (0.001)	Loss 2.8655 (3.6716)	Prec@1 28.906 (23.984)	Prec@5 56.250 (47.548)	2021-05-15 21:21:24.668146
Epoch: [0][860/1832], lr: 0.02000	Time 0.328 (0.335)	Data 0.000 (0.001)	Loss 4.0815 (3.6609)	Prec@1 25.000 (24.123)	Prec@5 55.469 (47.817)	2021-05-15 21:21:31.256888
Epoch: [0][880/1832], lr: 0.02000	Time 0.328 (0.334)	Data 0.000 (0.001)	Loss 4.3265 (3.6505)	Prec@1 32.031 (24.317)	Prec@5 56.250 (48.028)	2021-05-15 21:21:37.860260
Epoch: [0][900/1832], lr: 0.02000	Time 0.327 (0.334)	Data 0.000 (0.001)	Loss 3.5933 (3.6394)	Prec@1 30.469 (24.492)	Prec@5 53.125 (48.266)	2021-05-15 21:21:44.423565
Epoch: [0][920/1832], lr: 0.02000	Time 0.331 (0.334)	Data 0.000 (0.001)	Loss 3.0028 (3.6266)	Prec@1 30.469 (24.682)	Prec@5 61.719 (48.503)	2021-05-15 21:21:51.015497
Epoch: [0][940/1832], lr: 0.02000	Time 0.328 (0.334)	Data 0.000 (0.001)	Loss 3.2573 (3.6141)	Prec@1 35.938 (24.830)	Prec@5 60.938 (48.743)	2021-05-15 21:21:57.591845
Epoch: [0][960/1832], lr: 0.02000	Time 0.333 (0.334)	Data 0.000 (0.001)	Loss 3.4201 (3.6048)	Prec@1 37.500 (24.962)	Prec@5 53.125 (48.933)	2021-05-15 21:22:04.193193
Epoch: [0][980/1832], lr: 0.02000	Time 0.339 (0.334)	Data 0.000 (0.001)	Loss 2.7029 (3.5906)	Prec@1 30.469 (25.099)	Prec@5 64.062 (49.137)	2021-05-15 21:22:10.787586
Epoch: [0][1000/1832], lr: 0.02000	Time 0.328 (0.334)	Data 0.000 (0.001)	Loss 2.8323 (3.5780)	Prec@1 28.906 (25.256)	Prec@5 51.562 (49.323)	2021-05-15 21:22:17.371557
Epoch: [0][1020/1832], lr: 0.02000	Time 0.327 (0.334)	Data 0.000 (0.001)	Loss 2.9572 (3.5663)	Prec@1 39.844 (25.424)	Prec@5 59.375 (49.520)	2021-05-15 21:22:23.948804
Epoch: [0][1040/1832], lr: 0.02000	Time 0.330 (0.334)	Data 0.000 (0.001)	Loss 3.0619 (3.5578)	Prec@1 32.812 (25.567)	Prec@5 59.375 (49.715)	2021-05-15 21:22:30.524214
Epoch: [0][1060/1832], lr: 0.02000	Time 0.331 (0.334)	Data 0.000 (0.001)	Loss 4.0583 (3.5484)	Prec@1 30.469 (25.672)	Prec@5 57.812 (49.878)	2021-05-15 21:22:37.114424
Epoch: [0][1080/1832], lr: 0.02000	Time 0.327 (0.333)	Data 0.000 (0.001)	Loss 2.4269 (3.5356)	Prec@1 32.812 (25.810)	Prec@5 65.625 (50.053)	2021-05-15 21:22:43.661081
Epoch: [0][1100/1832], lr: 0.02000	Time 0.332 (0.333)	Data 0.000 (0.001)	Loss 3.3193 (3.5214)	Prec@1 35.938 (25.937)	Prec@5 65.625 (50.255)	2021-05-15 21:22:50.217458
Epoch: [0][1120/1832], lr: 0.02000	Time 0.331 (0.333)	Data 0.000 (0.001)	Loss 3.8355 (3.5116)	Prec@1 30.469 (26.084)	Prec@5 64.844 (50.458)	2021-05-15 21:22:56.772512
Epoch: [0][1140/1832], lr: 0.02000	Time 0.327 (0.333)	Data 0.000 (0.001)	Loss 2.6774 (3.4979)	Prec@1 38.281 (26.244)	Prec@5 67.188 (50.686)	2021-05-15 21:23:03.357291
Epoch: [0][1160/1832], lr: 0.02000	Time 0.329 (0.333)	Data 0.000 (0.001)	Loss 4.2469 (3.4879)	Prec@1 37.500 (26.358)	Prec@5 61.719 (50.845)	2021-05-15 21:23:09.930618
